 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
      0.005627  2.788024 12.664576     0.003143    0.000000    0.043011  
     14.311903  2.788024 10.580802     0.000255   -0.000000   -0.005602  
      5.409563  0.929341 14.455386     0.000225    0.000000   -0.000737  
     10.693180  0.929341 10.562509     0.008143   -0.000000   -0.019856  
      1.790519  2.788024 14.473367     0.000051   -0.000000   -0.014681  
      3.506921  2.788024 10.580402     0.000652   -0.000000   -0.001326  
     12.408767  0.929341 14.455686     0.000501    0.000000   -0.005029  
      7.123465  0.929341 10.561065    -0.006336   -0.000000   -0.023020  
     16.025723  2.788024 14.474552     0.001878   -0.000000   -0.011538  
      0.007149  0.929341 10.898066     0.000068   -0.000000   -0.009882  
      8.908990  2.788024 14.136629    -0.000054   -0.000000   -0.025701  
 
   7 f  =    6.931791 THz    43.553726 2PiTHz  231.219651 cm-1    28.667570 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.007487    0.000000    0.001302  
      6.616854  2.788024 12.594077    -0.006657   -0.000000    0.001999  
      2.299255  0.929341 12.441442    -0.006496    0.000000    0.003847  
     11.201891  2.788024 12.594295    -0.007662   -0.000000   -0.000452  
     12.978330  0.929341 11.777452     0.055466    0.000000   -0.012101  
      4.075984  2.788024 13.259029     0.051231   -0.000000    0.014349  
      4.839461  0.929341 11.777088     0.051149    0.000000    0.008732  
     13.741567  2.788024 13.259193     0.055411   -0.000000   -0.006473  
      8.907040  0.929341 12.370505    -0.019809    0.000000    0.005918  
      0.005627  2.788024 12.664576    -0.019876    0.000000    0.022964  
     14.311903  2.788024 10.580802    -0.001715    0.000000    0.013393  
      5.409563  0.929341 14.455386    -0.001678    0.000000   -0.014065  
     10.693180  0.929341 10.562509    -0.006134   -0.000000   -0.011550  
      1.790519  2.788024 14.473367    -0.007146    0.000000    0.003468  
      3.506921  2.788024 10.580402    -0.003005    0.000000   -0.014191  
     12.408767  0.929341 14.455686    -0.003249    0.000000    0.013649  
      7.123465  0.929341 10.561065    -0.006322    0.000000    0.008109  
     16.025723  2.788024 14.474552    -0.005208   -0.000000   -0.016118  
      0.007149  0.929341 10.898066    -0.000871    0.000000   -0.005096  
      8.908990  2.788024 14.136629    -0.000591   -0.000000   -0.001766  
 
   8 f  =    6.824556 THz    42.879950 2PiTHz  227.642683 cm-1    28.224083 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.002500   -0.000000   -0.008144  
      6.616854  2.788024 12.594077     0.000957   -0.000000    0.002083  
