     #Energy           s           p           d       tot  
   -13.04476     0.00000     0.00000     0.00000     0.00000
   -13.04076     0.00000     0.00000     0.00000     0.00000
   -13.03676     0.00000     0.00000     0.00000     0.00000
   -13.03276     0.00000     0.00000     0.00000     0.00000
   -13.02976     0.00000     0.00000     0.00000     0.00000
   -13.02576     0.00000     0.00000     0.00000     0.00000
   -13.02176     0.00000     0.00000     0.00000     0.00000
   -13.01776     0.00000     0.00000     0.00000     0.00000
   -13.01376     0.00000     0.00000     0.00000     0.00000
   -13.00976     0.00000     0.00000     0.00000     0.00000
   -13.00576     0.00000     0.00000     0.00000     0.00000
   -13.00276     0.00000     0.00000     0.00000     0.00000
   -12.99876     0.00000     0.00000     0.00000     0.00000
   -12.99476     0.00000     0.00000     0.00000     0.00000
   -12.99076     0.00000     0.00000     0.00000     0.00000
   -12.98676     0.00000     0.00000     0.00000     0.00000
   -12.98276     0.00000     0.00000     0.00000     0.00000
   -12.97876     0.00000     0.00000     0.00000     0.00000
   -12.97576     0.00000     0.00000     0.00000     0.00000
   -12.97176     0.00000     0.00000     0.00000     0.00000
   -12.96776     0.00001     0.00000     0.00000     0.00001
   -12.96376     0.00002     0.00000     0.00000     0.00002
   -12.95976     0.00004     0.00000     0.00000     0.00004
   -12.95576     0.00008     0.00000     0.00000     0.00008
   -12.95276     0.00016     0.00000     0.00000     0.00016
   -12.94876     0.00028     0.00000     0.00000     0.00029
   -12.94476     0.00050     0.00000     0.00000     0.00051
   -12.94076     0.00086     0.00000     0.00001     0.00087
   -12.93676     0.00145     0.00000     0.00001     0.00146
   -12.93276     0.00235     0.00000     0.00002     0.00238
   -12.92876     0.00372     0.00001     0.00003     0.00376
   -12.92576     0.00573     0.00001     0.00005     0.00579
   -12.92176     0.00860     0.00002     0.00007     0.00869
   -12.91776     0.01257     0.00003     0.00010     0.01270
   -12.91376     0.01793     0.00005     0.00014     0.01811
   -12.90976     0.02495     0.00007     0.00020     0.02521
   -12.90576     0.03389     0.00010     0.00027     0.03427
   -12.90176     0.04500     0.00014     0.00037     0.04550
   -12.89876     0.05839     0.00020     0.00048     0.05906
   -12.89476     0.07410     0.00027     0.00061     0.07498
   -12.89076     0.09199     0.00035     0.00076     0.09311
   -12.88676     0.11175     0.00046     0.00094     0.11314
   -12.88276     0.13288     0.00058     0.00112     0.13458
   -12.87876     0.15470     0.00071     0.00132     0.15673
   -12.87476     0.17634     0.00086     0.00151     0.17871
   -12.87176     0.19694     0.00101     0.00170     0.19965
   -12.86776     0.21548     0.00116     0.00188     0.21852
   -12.86376     0.23108     0.00131     0.00203     0.23442
   -12.85976     0.24305     0.00145     0.00215     0.24666
   -12.85576     0.25097     0.00158     0.00225     0.25480
   -12.85176     0.25474     0.00169     0.00230     0.25874
   -12.84876     0.25469     0.00179     0.00233     0.25881
   -12.84476     0.25159     0.00189     0.00234     0.25581
   -12.84076     0.24649     0.00199     0.00233     0.25080
   -12.83676     0.24080     0.00210     0.00232     0.24523
   -12.83276     0.23601     0.00225     0.00233     0.24060
   -12.82876     0.23356     0.00245     0.00237     0.23838
   -12.82476     0.23464     0.00271     0.00245     0.23981
   -12.82176     0.24006     0.00304     0.00259     0.24568
   -12.81776     0.24997     0.00343     0.00277     0.25617
   -12.81376     0.26402     0.00389     0.00300     0.27090
   -12.80976     0.28113     0.00438     0.00326     0.28877
   -12.80576     0.29973     0.00488     0.00353     0.30814
   -12.80176     0.31786     0.00537     0.00379     0.32702
   -12.79776     0.33340     0.00579     0.00402     0.34321
   -12.79476     0.34435     0.00612     0.00419     0.35466
   -12.79076     0.34914     0.00632     0.00428     0.35974
   -12.78676     0.34670     0.00638     0.00428     0.35736
   -12.78276     0.33685     0.00630     0.00418     0.34733
   -12.77876     0.32015     0.00608     0.00400     0.33022
   -12.77476     0.29796     0.00575     0.00375     0.30746
   -12.77076     0.27227     0.00536     0.00345     0.28109
   -12.76776     0.24549     0.00496     0.00315     0.25360
   -12.76376     0.22015     0.00460     0.00288     0.22763
   -12.75976     0.19857     0.00433     0.00266     0.20556
   -12.75576     0.18273     0.00421     0.00252     0.18946
   -12.75176     0.17393     0.00425     0.00249     0.18067
   -12.74776     0.17284     0.00448     0.00256     0.17989
   -12.74476     0.17935     0.00490     0.00275     0.18700
   -12.74076     0.19279     0.00549     0.00304     0.20132
   -12.73676     0.21191     0.00623     0.00341     0.22155
   -12.73276     0.23518     0.00708     0.00385     0.24611
   -12.72876     0.26086     0.00800     0.00432     0.27318
   -12.72476     0.28725     0.00894     0.00481     0.30100
   -12.72076     0.31276     0.00987     0.00528     0.32792
   -12.71776     0.33596     0.01075     0.00573     0.35243
   -12.71376     0.35563     0.01153     0.00611     0.37327
   -12.70976     0.37075     0.01218     0.00643     0.38936
   -12.70576     0.38048     0.01268     0.00665     0.39981
   -12.70176     0.38431     0.01299     0.00677     0.40407
   -12.69776     0.38191     0.01309     0.00679     0.40179
   -12.69376     0.37331     0.01298     0.00669     0.39298
   -12.69076     0.35907     0.01266     0.00649     0.37822
   -12.68676     0.34003     0.01217     0.00620     0.35840
   -12.68276     0.31766     0.01155     0.00586     0.33507
   -12.67876     0.29381     0.01088     0.00548     0.31017
   -12.67476     0.27049     0.01023     0.00512     0.28584
   -12.67076     0.24991     0.00969     0.00482     0.26442
   -12.66676     0.23395     0.00932     0.00461     0.24789
   -12.66376     0.22409     0.00920     0.00453     0.23783
   -12.65976     0.22117     0.00936     0.00459     0.23512
   -12.65576     0.22518     0.00979     0.00479     0.23976
   -12.65176     0.23534     0.01045     0.00511     0.25090
   -12.64776     0.25017     0.01129     0.00553     0.26698
   -12.64376     0.26761     0.01221     0.00599     0.28581
   -12.64076     0.28549     0.01312     0.00645     0.30506
   -12.63676     0.30167     0.01392     0.00687     0.32246
   -12.63276     0.31441     0.01454     0.00720     0.33615
   -12.62876     0.32255     0.01494     0.00743     0.34492
   -12.62476     0.32569     0.01509     0.00755     0.34833
   -12.62076     0.32406     0.01502     0.00755     0.34663
   -12.61676     0.31845     0.01477     0.00747     0.34069
   -12.61376     0.31003     0.01440     0.00733     0.33176
   -12.60976     0.30009     0.01398     0.00715     0.32122
   -12.60576     0.28986     0.01356     0.00696     0.31039
   -12.60176     0.28035     0.01320     0.00680     0.30035
   -12.59776     0.27228     0.01294     0.00667     0.29189
   -12.59376     0.26599     0.01278     0.00659     0.28536
   -12.58976     0.26166     0.01274     0.00656     0.28096
   -12.58676     0.25918     0.01282     0.00657     0.27857
   -12.58276     0.25835     0.01299     0.00663     0.27797
   -12.57876     0.25892     0.01325     0.00674     0.27891
   -12.57476     0.26059     0.01358     0.00688     0.28105
   -12.57076     0.26309     0.01396     0.00704     0.28410
   -12.56676     0.26609     0.01438     0.00723     0.28770
   -12.56376     0.26927     0.01482     0.00742     0.29151
   -12.55976     0.27221     0.01525     0.00761     0.29506
   -12.55576     0.27453     0.01564     0.00778     0.29795
   -12.55176     0.27575     0.01596     0.00791     0.29962
   -12.54776     0.27551     0.01620     0.00799     0.29970
   -12.54376     0.27345     0.01631     0.00802     0.29777
   -12.53976     0.26935     0.01629     0.00797     0.29361
   -12.53676     0.26314     0.01612     0.00785     0.28711
   -12.53276     0.25479     0.01580     0.00766     0.27826
   -12.52876     0.24443     0.01535     0.00740     0.26718
   -12.52476     0.23229     0.01476     0.00708     0.25414
   -12.52076     0.21859     0.01408     0.00672     0.23939
   -12.51676     0.20368     0.01332     0.00631     0.22330
   -12.51276     0.18800     0.01252     0.00587     0.20639
   -12.50976     0.17208     0.01174     0.00544     0.18926
   -12.50576     0.15653     0.01104     0.00502     0.17259
   -12.50176     0.14214     0.01049     0.00466     0.15728
   -12.49776     0.12970     0.01015     0.00437     0.14422
   -12.49376     0.12003     0.01011     0.00419     0.13433
   -12.48976     0.11379     0.01041     0.00414     0.12834
   -12.48576     0.11149     0.01109     0.00425     0.12682
   -12.48276     0.11333     0.01215     0.00450     0.12998
   -12.47876     0.11930     0.01356     0.00491     0.13777
   -12.47476     0.12906     0.01527     0.00545     0.14978
   -12.47076     0.14212     0.01720     0.00610     0.16542
   -12.46676     0.15784     0.01926     0.00684     0.18395
   -12.46276     0.17553     0.02137     0.00764     0.20453
   -12.45976     0.19456     0.02342     0.00847     0.22645
   -12.45576     0.21433     0.02537     0.00930     0.24900
   -12.45176     0.23424     0.02715     0.01012     0.27152
   -12.44776     0.25368     0.02874     0.01091     0.29333
   -12.44376     0.27191     0.03011     0.01164     0.31366
   -12.43976     0.28822     0.03125     0.01229     0.33176
   -12.43576     0.30164     0.03212     0.01283     0.34659
   -12.43276     0.31129     0.03271     0.01324     0.35724
   -12.42876     0.31628     0.03299     0.01347     0.36274
   -12.42476     0.31597     0.03294     0.01351     0.36242
   -12.42076     0.31014     0.03254     0.01335     0.35603
   -12.41676     0.29904     0.03181     0.01299     0.34385
   -12.41276     0.28346     0.03081     0.01247     0.32674
