      #Energy        TDOS
     -13.08276       0.00000
     -13.07976       0.00000
     -13.07576       0.00000
     -13.07176       0.00000
     -13.06776       0.00000
     -13.06376       0.00000
     -13.05976       0.00000
     -13.05676       0.00000
     -13.05276       0.00000
     -13.04876       0.00000
     -13.04476       0.00000
     -13.04076       0.00000
     -13.03676       0.00000
     -13.03276       0.00000
     -13.02976       0.00000
     -13.02576       0.00000
     -13.02176       0.00000
     -13.01776       0.00000
     -13.01376       0.00000
     -13.00976       0.00000
     -13.00576       0.00000
     -13.00276       0.00000
     -12.99876       0.00000
     -12.99476       0.00000
     -12.99076       0.00000
     -12.98676       0.00000
     -12.98276       0.00001
     -12.97876       0.00001
     -12.97576       0.00003
     -12.97176       0.00006
     -12.96776       0.00013
     -12.96376       0.00028
     -12.95976       0.00056
     -12.95576       0.00108
     -12.95276       0.00203
     -12.94876       0.00370
     -12.94476       0.00656
     -12.94076       0.01130
     -12.93676       0.01891
     -12.93276       0.03076
     -12.92876       0.04867
     -12.92576       0.07498
     -12.92176       0.11250
     -12.91776       0.16450
     -12.91376       0.23470
     -12.90976       0.32670
     -12.90576       0.44400
     -12.90176       0.58970
     -12.89876       0.76560
     -12.89476       0.97190
     -12.89076       1.20700
     -12.88676       1.46700
     -12.88276       1.74500
     -12.87876       2.03300
     -12.87476       2.31900
     -12.87176       2.59100
     -12.86776       2.83600
     -12.86376       3.04300
     -12.85976       3.20300
     -12.85576       3.30900
     -12.85176       3.36100
     -12.84876       3.36300
     -12.84476       3.32500
     -12.84076       3.26100
     -12.83676       3.19000
     -12.83276       3.13100
     -12.82876       3.10400
     -12.82476       3.12500
     -12.82176       3.20400
     -12.81776       3.34300
     -12.81376       3.53700
     -12.80976       3.77200
     -12.80576       4.02600
     -12.80176       4.27400
     -12.79776       4.48700
     -12.79476       4.63700
     -12.79076       4.70400
     -12.78676       4.67400
     -12.78276       4.54300
     -12.77876       4.32000
     -12.77476       4.02300
     -12.77076       3.67800
     -12.76776       3.32000
     -12.76376       2.98100
     -12.75976       2.69300
     -12.75576       2.48400
     -12.75176       2.37100
     -12.74776       2.36300
     -12.74476       2.45800
     -12.74076       2.64800
     -12.73676       2.91500
     -12.73276       3.23800
     -12.72876       3.59400
     -12.72476       3.96000
     -12.72076       4.31300
     -12.71776       4.63400
     -12.71376       4.90600
     -12.70976       5.11500
     -12.70576       5.25000
     -12.70176       5.30300
     -12.69776       5.27100
     -12.69376       5.15300
     -12.69076       4.95700
     -12.68676       4.69500
     -12.68276       4.38800
     -12.67876       4.06100
     -12.67476       3.74200
     -12.67076       3.46200
     -12.66676       3.24600
     -12.66376       3.11500
     -12.65976       3.08000
     -12.65576       3.14100
